year,age,status,income,total_income,kommune
2015,66,sysselsatt,421279,421279,1534
2015,33,sysselsatt,278139,278139,0230
2015,14,utdanning,,,1149
2015,36,sysselsatt,676350,676350,1504
2015,49,sysselsatt,1132177,1132177,1259
2015,18,utdanning,27610,27610,0301
2015,-9,utdanning,,,
2015,48,arbeidsledig,109166,329259,1822
2015,23,sysselsatt,,,1504
2015,16,utdanning,,,0834
2015,-6,utdanning,,,
2015,27,sysselsatt,733980,733980,0301
2015,40,sysselsatt,449404,449404,0710
2015,19,sysselsatt,467515,467515,1102
2015,56,sysselsatt,959117,959117,1112
2015,3,utdanning,,,0616
2015,28,ufor,29729,356752,0604
2015,35,sysselsatt,807564,807564,2004
2015,82,pensjonist,,,5001
2015,36,sysselsatt,558482,558482,1902
2015,-4,utdanning,,,
2015,56,sysselsatt,755219,755219,5001
2015,39,ufor,37900,454794,0301
2015,20,sysselsatt,647386,647386,5001
2015,31,sysselsatt,488270,488270,0301
2015,13,utdanning,,,1103
2015,2,utdanning,,,1146
2015,39,sysselsatt,400937,400937,0226
2015,3,utdanning,,,1201
2015,18,utdanning,80177,80177,0226
2015,52,sysselsatt,1800906,1800906,1201
2015,14,utdanning,,,1224
2015,36,sysselsatt,257601,257601,0602
2015,41,sysselsatt,609147,609147,0403
2015,90,pensjonist,,,0301
2015,16,utdanning,,,0235
2015,31,sysselsatt,482912,482912,0712
2015,-10,utdanning,,,
2015,42,sysselsatt,2132176,2132176,1902
2015,85,pensjonist,,,0220
2015,34,sysselsatt,740262,740262,0712
2015,-3,utdanning,,,
2015,40,sysselsatt,740230,740230,0626
2015,22,sysselsatt,465859,465859,0627
2015,8,utdanning,,,0301
2015,15,utdanning,,,5025
2015,42,sysselsatt,419073,419073,0430
2015,10,utdanning,,,1854
2015,31,sysselsatt,973998,973998,0301
2015,12,utdanning,,,1201
2015,-6,utdanning,,,
2015,9,utdanning,,,0220
2015,30,sysselsatt,724229,724229,0828
2015,17,utdanning,,,0301
2015,52,sysselsatt,1295628,1295628,0412
2015,47,sysselsatt,451155,451155,0217
2015,72,pensjonist,,,0437
2015,48,arbeidsledig,349800,1166557,0412
2015,36,sysselsatt,167794,167794,5043
2015,0,utdanning,,,1103
2015,39,sysselsatt,585950,585950,0213
2015,15,utdanning,,,0541
2015,1,utdanning,,,0941
2015,40,sysselsatt,261442,261442,0906
2015,10,utdanning,,,0626
2015,19,sysselsatt,335411,335411,0935
2015,23,sysselsatt,459615,459615,0213
2015,69,pensjonist,,815931,0423
2015,34,sysselsatt,283430,283430,0301
2015,37,sysselsatt,319492,319492,5001
2015,23,sysselsatt,,,1224
2015,56,ufor,31441,377293,1201
2015,14,utdanning,,,0227
2015,53,sysselsatt,1420246,1420246,0215
2015,21,arbeidsledig,,,0712
2015,49,ufor,22442,269310,1001
2015,45,sysselsatt,1507759,1507759,0301
